Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
Trinidad and Tobago,89364,+420,2738 ,+20,70045,+362,16581,22,63550,1947,500624,356012,1406199
Senegal,74353,+51,1890 ,None,72292,+18,171,None,4274,109,910844,52359,17395989
Réunion,71795,None,401 ,None,65494,None,5900,34,79351,443,1347378,1489191,904772
Angola,71142,+921,1746 ,None,63995,+32,5401,3,2070,51,1251654,36410,34376372
Malawi,70682,+947,2328 ,+6,59563,+6,8791,67,3559,117,476377,23986,19860502
DRC,70059,None,1126 ,None,50930,None,18003,None,749,12,846704,9048,93583518
Eswatini,64381,+428,1272 ,None,53836,+750,9273,11,54655,1080,424032,359976,1177944
Ivory Coast,63847,+455,707 ,None,61245,+41,1895,None,2335,26,1208604,44200,27343734
Guadeloupe,56035,None,750 ,None,2250,None,53035,23,140009,1874,607573,1518079,400225
Fiji,52815,None,697 ,None,51221,None,897,None,58291,769,469654,518346,906062
Suriname,51563,+21,1186 ,None,49082,None,1295,3,86746,1995,167122,281155,594413
Syria,50051,+44,2871 ,+4,31791,+120,15389,None,2761,158,146269,8068,18129053
Madagascar,49590,+2295,1027 ,+31,44708,+747,3855,22,1725,36,320884,11164,28743100
Martinique,47300,None,769 ,None,104,None,46427,1,126189,2052,466711,1245114,374834
French Guiana,47229,None,337 ,None,11254,None,35638,5,152291,1087,481773,1553490,310123
French Polynesia,46376,None,636 ,None,N/A,N/A,N/A,7,163692,2245,None,None,283312
Sudan,46100,None,3298 ,None,38292,None,4510,None,1016,73,562941,12410,45362719
Malta,45678,+917,474 ,+1,39503,+96,5701,5,103045,1069,1211456,2732912,443284
Mauritania,40453,+64,862 ,+1,38957,+28,634,18,8375,178,550908,114053,4830271
Guyana,39086,+44,1045 ,+3,37301,+32,740,7,49340,1319,418463,528248,792172
Cabo Verde,39013,+148,351 ,None,38169,+24,493,23,69059,621,388481,687668,564925
Gabon,38039,None,286 ,None,36221,None,1532,5,16515,124,1469004,637763,2303368
Papua New Guinea,36110,None,589 ,None,35374,None,147,7,3926,64,249149,27088,9197677
Belize,31503,None,592 ,None,30415,None,496,4,77156,1450,375152,918806,408304
Guinea,31038,+62,389 ,None,29803,+1,846,49,2272,28,570956,41800,13659176
Togo,27992,+308,246 ,None,26050,+16,1696,None,3268,29,607752,70953,8565548
Barbados,27629,+47,260 ,None,26380,+29,989,None,95969,903,464644,1613930,287896
Lesotho,27595,None,665 ,None,14803,None,12127,None,12732,307,312347,144112,2167390
Tanzania,26483,None,734 ,None,N/A,N/A,N/A,7,425,12,None,None,62248035
Haiti,25950,None,765 ,None,23064,None,2121,None,2235,66,132422,11408,11608241
Benin,24935,None,161 ,None,24705,None,69,5,1980,13,604310,47990,12592466
